timestamp,vibration,rpm,object_temperature_c,room_temperature_c,distance_cm,belt_height_from_ground_cm,vibration_condition,rpm_condition,object_temperature_condition,room_temperature_condition,distance_condition,overall_status,alerts
1653,2.5141,0.0,32.11,32.29,,,NORMAL,NORMAL,NORMAL,NORMAL,SENSOR_FAILURE,SENSOR_FAILURE,DISTANCE=SENSOR_FAILURE
2368,9.6586,0.0,32.03,32.23,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
3083,9.6586,0.0,32.13,32.23,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
3798,9.6586,0.0,32.17,32.27,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
4513,9.6586,0.0,32.11,32.27,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
5228,2.499,0.0,32.09,32.21,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
5943,9.6586,0.0,32.09,32.27,3.28,10.72,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
6658,2.4875,6041.96,32.13,32.25,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
7373,9.6586,6041.96,32.11,32.23,3.29,10.71,NORMAL,NORMAL,NORMAL,NORMAL,WARNING_1,WARNING_1,DISTANCE=WARNING_1
8088,9.6586,0.0,32.09,32.25,2.31,11.69,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NONE
8803,9.6586,0.0,32.09,32.25,2.33,11.67,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NONE
9569,9.6586,16657.34,32.09,,2.31,11.69,NORMAL,NORMAL,NORMAL,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,ROOM_TEMPERATURE=SENSOR_FAILURE
10299,0.1108,16657.34,,32.23,1.69,12.31,NORMAL,NORMAL,SENSOR_FAILURE,NORMAL,NORMAL,SENSOR_FAILURE,OBJECT_TEMPERATURE=SENSOR_FAILURE
11014,9.6586,141697.86,32.05,32.23,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
11729,8.2399,141697.86,31.99,32.21,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
12495,9.6586,103349.09,31.97,32.25,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
13212,2.5113,103349.09,31.97,32.25,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
13927,9.6586,158505.59,31.99,32.21,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
14644,9.6717,158505.59,32.05,32.23,2.66,11.34,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
15359,9.6586,135293.3,32.09,32.23,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
16074,2.5136,135293.3,32.09,32.23,2.64,11.36,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
16789,9.6586,126755.24,32.11,32.23,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
17506,10.4696,126755.24,32.11,32.21,1.67,12.33,WARNING_1,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1
18221,9.6738,122178.77,32.09,32.23,2.64,11.36,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
18936,9.6586,122178.77,32.05,32.21,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
19653,9.6586,140865.92,32.05,32.21,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
20368,14.0941,140865.92,32.09,32.19,1.69,12.31,WARNING_1,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1
21083,9.6586,104643.36,32.03,32.23,2.66,11.34,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
21798,9.6491,104643.36,31.99,32.21,1.67,12.33,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
22525,8.2399,143758.67,32.09,32.21,3.29,10.71,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1
23308,2.523,143758.67,32.03,32.21,3.93,10.07,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1
24023,10.459,145674.23,32.09,32.21,3.93,10.07,WARNING_1,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1 | DISTANCE=WARNING_1
24789,2.8813,145674.23,32.11,,12.86,1.14,NORMAL,WARNING_1,NORMAL,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
25610,20.8901,141377.13,31.97,32.23,73.67,-59.67,WARNING_2,WARNING_1,NORMAL,NORMAL,HIGH_RISK,HIGH_RISK,VIBRATION=WARNING_2 | RPM=WARNING_1 | DISTANCE=HIGH_RISK | GEOMETRY_ERROR: distance is greater than sensor height above ground
26327,10.4775,141377.13,32.03,32.21,3.29,10.71,WARNING_1,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1 | DISTANCE=WARNING_1
27093,9.6543,123026.23,32.05,32.19,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
27810,12.8845,123026.23,32.05,32.21,1.69,12.31,WARNING_1,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1
28525,9.6586,107430.16,32.09,32.23,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
29242,9.6408,107430.16,32.09,32.19,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
29959,9.6579,109456.07,32.05,32.21,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
30674,9.6586,109456.07,32.09,32.21,2.64,11.36,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
31389,2.499,139300.7,569.81,32.21,2.64,11.36,NORMAL,WARNING_1,HIGH_RISK,NORMAL,NORMAL,HIGH_RISK,RPM=WARNING_1 | OBJECT_TEMPERATURE=HIGH_RISK
32161,9.6468,139300.7,32.03,32.15,2.64,11.36,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
32876,16.638,150665.77,32.09,32.23,2.33,11.67,WARNING_1,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1
33642,9.6385,150665.77,32.09,32.21,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
34357,11.4147,144550.98,32.11,32.23,1.69,12.31,WARNING_1,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1
35074,9.6368,144550.98,32.09,32.21,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
35789,9.6586,135125.7,32.09,32.19,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
36511,9.6586,135125.7,32.09,32.15,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
37226,9.6348,149018.8,32.05,32.21,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
37941,2.4937,149018.8,31.99,32.19,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
38658,8.2253,102653.63,32.03,,2.33,11.67,NORMAL,WARNING_1,NORMAL,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE
39373,9.6586,102653.63,31.99,32.19,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
40141,4.7234,160539.45,32.05,32.21,3.29,10.71,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1
40856,9.6543,160539.45,31.95,32.21,2.97,11.03,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
41571,9.6586,160321.67,32.03,,3.93,10.07,NORMAL,WARNING_1,NORMAL,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
42288,9.6482,160321.67,32.03,32.21,26.59,-12.59,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
43006,9.6397,154686.19,31.99,52.69,17.21,-3.21,NORMAL,WARNING_1,NORMAL,WARNING_2,WARNING_1,WARNING_2,RPM=WARNING_1 | ROOM_TEMPERATURE=WARNING_2 | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
43723,9.6485,154686.19,31.95,32.19,2.31,11.69,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
44438,9.6586,122051.64,32.05,32.21,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
45153,9.6523,122051.64,32.03,,1.69,12.31,NORMAL,WARNING_1,NORMAL,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE
45868,9.6439,140349.66,31.99,32.19,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
46634,9.6586,140349.66,32.09,32.15,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
47349,9.6586,107765.02,32.09,32.19,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
48064,9.634,107765.02,32.03,32.21,2.64,11.36,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
