window_id,timestamp_start,timestamp_end,window_duration_ms,vibration_mean,vibration_rms,vibration_std,vibration_variance,vibration_min,vibration_max,vibration_range,vibration_peak_to_peak,vibration_trend,rpm_mean,rpm_rms,rpm_std,rpm_variance,rpm_min,rpm_max,rpm_range,rpm_peak_to_peak,rpm_trend,object_temperature_mean,object_temperature_rms,object_temperature_std,object_temperature_variance,object_temperature_min,object_temperature_max,object_temperature_range,object_temperature_peak_to_peak,object_temperature_trend,room_temperature_mean,room_temperature_rms,room_temperature_std,room_temperature_variance,room_temperature_min,room_temperature_max,room_temperature_range,room_temperature_peak_to_peak,room_temperature_trend,distance_mean,distance_rms,distance_std,distance_variance,distance_min,distance_max,distance_range,distance_peak_to_peak,distance_trend,belt_height_mean,belt_height_rms,belt_height_std,belt_height_variance,belt_height_min,belt_height_max,belt_height_range,belt_height_peak_to_peak,belt_height_trend,status
0,1653,8088,6435,7.5110800000000015,8.19617736374708,3.2803964107406287,10.7610006116,2.4875,9.6586,7.1711,7.1711,7.1445,1208.392,2702.0466554669256,2416.784,5840844.902656,0.0,6041.96,6041.96,6041.96,0.0,32.10600000000001,32.10601843891578,0.03440930106817043,0.001183999999999995,32.03,32.17,0.14000000000000057,0.14000000000000057,-0.01999999999999602,32.25,32.25000868216937,0.02366431913239976,0.0005600000000000614,32.21,32.29,0.0799999999999983,0.0799999999999983,-0.03999999999999915,3.18,3.1948430669161545,0.30760725320158205,0.09462222222222222,2.31,3.29,0.98,0.98,-0.98,10.82,10.824371677941507,0.30760725320158167,0.09462222222222197,10.71,11.69,0.9799999999999986,0.9799999999999986,0.9799999999999986,WARNING_1
1,8803,15359,6556,7.848529999999999,8.529290480397533,3.339067674980548,11.1493729381,0.1108,9.6717,9.5609,9.5609,0.0,97571.30599999998,114291.68428365767,59518.31097947626,3542429341.8496437,0.0,158505.59,158505.59,158505.59,135293.3,32.03222222222222,32.03226030114016,0.049391357268652535,0.002439506172839676,31.97,32.09,0.12000000000000455,0.12000000000000455,0.0,32.23222222222223,32.232225592823504,0.0147405546238017,0.00021728395061728172,32.21,32.25,0.03999999999999915,0.03999999999999915,-0.020000000000003126,2.105,2.134284423407527,0.35234216324476414,0.12414500000000003,1.69,2.66,0.9700000000000002,0.9700000000000002,-0.6400000000000001,11.895000000000001,11.900217224908124,0.3523421632447644,0.12414500000000021,11.34,12.31,0.9700000000000006,0.9700000000000006,0.6400000000000006,WARNING_1
2,16074,22525,6451,9.327450000000002,9.707275977482045,2.688844249952012,7.229883400499999,2.5136,14.0941,11.580499999999999,11.580499999999999,5.7263,126793.85500000001,127493.8422263883,13341.594353230992,177998139.88616508,104643.36,143758.67,39115.31000000001,39115.31000000001,8465.370000000024,32.07000000000001,32.07002120361008,0.036878177829172694,0.0013600000000000842,31.99,32.11,0.120000000000001,0.120000000000001,0.0,32.215999999999994,32.21600254531899,0.012806248474864591,0.00016399999999997168,32.19,32.23,0.03999999999999915,0.03999999999999915,-0.01999999999999602,2.228,2.292548799916809,0.5401814509958668,0.29179600000000006,1.67,3.29,1.62,1.62,0.6499999999999999,11.772,11.78438712873945,0.5401814509958668,0.29179600000000006,10.71,12.33,1.6199999999999992,1.6199999999999992,-0.6499999999999986,WARNING_1
3,23308,29959,6651,9.872699999999998,10.995257358061247,4.839987508248343,23.42547908,2.523,20.8901,18.3671,18.3671,7.1349,128823.024,129775.77582027795,15696.511626806257,246380477.25046405,107430.16,145674.23,38244.07000000001,38244.07000000001,-34302.600000000006,32.056,32.05602377089211,0.039038442591887317,0.0015240000000000815,31.97,32.11,0.14000000000000057,0.14000000000000057,0.01999999999999602,32.21,32.21000275966734,0.01333333333333305,0.0001777777777777702,32.19,32.23,0.03999999999999915,0.03999999999999915,0.0,10.772,23.780101765972322,21.200406977225697,449.45725600000003,1.69,73.67,71.98,71.98,-1.6,3.228,21.444748541309597,21.200406977225697,449.45725600000003,-59.67,12.31,71.98,71.98,1.5999999999999996,WARNING_1
4,30674,37226,6552,9.808440000000001,10.319340098766006,3.20675612424768,10.283284840400004,2.499,16.638,14.139000000000001,14.139000000000001,-0.0237999999999996,139776.117,140251.50045277644,11537.785561253117,133120495.6574609,109456.07,150665.77,41209.69999999998,41209.69999999998,39562.72999999998,85.854,182.74195473399095,161.31866818195593,26023.712703999998,32.03,569.81,537.78,537.78,-0.04000000000000625,32.199999999999996,32.20001149068118,0.027202941017470963,0.0007400000000000041,32.15,32.23,0.0799999999999983,0.0799999999999983,0.0,2.07,2.1123020617326493,0.4206185920760042,0.17692000000000002,1.69,2.64,0.9500000000000002,0.9500000000000002,-0.9500000000000002,11.930000000000001,11.937412617481227,0.4206185920760046,0.17692000000000038,11.36,12.31,0.9500000000000011,0.9500000000000011,0.9500000000000011,WARNING_1
5,37941,44438,6497,8.30089,8.65078556716094,2.4354293537074727,5.931316136899999,2.4937,9.6586,7.164899999999999,7.164899999999999,7.164899999999999,142747.232,144563.57826012,22844.1659009038,521855915.70801604,102653.63,160539.45,57885.82000000001,57885.82000000001,-26967.15999999999,32.006,32.00601974629148,0.03555277766926231,0.0012639999999999971,31.95,32.05,0.09999999999999787,0.09999999999999787,0.05999999999999872,34.7625,35.416734745032606,6.7759644147530755,45.913693749999986,32.19,52.69,20.5,20.5,0.020000000000003126,6.498,10.309127024147099,8.003380285854222,64.054096,1.69,26.59,24.9,24.9,0.0,7.502,10.969690059431944,8.003380285854222,64.054096,-12.59,12.31,24.9,24.9,0.0,WARNING_1
6,45153,51685,6532,9.02491,9.19448074602367,1.757690439440347,3.0894756808999997,3.9809,10.4713,6.490399999999999,6.490399999999999,0.006299999999999528,128751.673,129483.73485418317,13749.3378564017,189044291.48948088,107765.02,146643.36,38878.33999999998,38878.33999999998,-388.3500000000058,32.046,32.04602346625865,0.03878143885933244,0.0015040000000001404,31.99,32.09,0.10000000000000497,0.10000000000000497,0.0,32.185,32.18500737921307,0.02179449471770392,0.0004750000000000242,32.15,32.21,0.060000000000002274,0.060000000000002274,0.020000000000003126,2.293,2.3296802355688215,0.41177785273129985,0.16956100000000007,1.69,2.64,0.9500000000000002,0.9500000000000002,0.9500000000000002,11.706999999999999,11.714239625344874,0.41177785273130024,0.16956100000000038,11.36,12.31,0.9500000000000011,0.9500000000000011,-0.9500000000000011,SENSOR_FAILURE
7,52399,58857,6458,9.65513,9.655131126038631,0.004663056937246125,2.174409999999921e-05,9.6463,9.6586,0.012299999999999756,0.012299999999999756,-0.012299999999999756,128619.42199999999,129865.80902424702,17949.168167581363,322172637.9081161,98487.4,149789.92,51302.52000000002,51302.52000000002,14139.180000000008,,,,,,,,,,,,,,,,,,,2.218888888888889,2.2949388759713067,0.5858980655454297,0.34327654320987666,1.67,3.29,1.62,1.62,1.6,11.78111111111111,11.795671051515278,0.5858980655454298,0.3432765432098767,10.71,12.33,1.6199999999999992,1.6199999999999992,-1.5999999999999996,SENSOR_FAILURE
8,59622,66049,6427,8.96165,9.23421715875255,2.2270150005107734,4.9595958125,2.5113,10.4792,7.9679,7.9679,0.015700000000000713,120283.61299999998,121457.2787897349,16844.079513990102,283723014.673621,91890.76,141501.02,49610.259999999995,49610.259999999995,-9499.949999999997,,,,,,,,,,,,,,,,,,,4.169,6.08297049146221,4.429669175006187,19.621968999999996,1.69,17.22,15.53,15.53,-2.24,9.831000000000001,10.782881340346837,4.429669175006188,19.621969000000004,-3.22,12.31,15.530000000000001,15.530000000000001,2.24,SENSOR_FAILURE
9,66765,73250,6485,7.1038999999999985,7.778575566644577,3.168728867542946,10.040842636,2.499,9.6586,7.159599999999999,7.159599999999999,-7.159599999999999,124273.495,124663.98160839855,9859.348403627142,97206750.94410506,110560.43,139159.66,28599.23000000001,28599.23000000001,-15742.090000000011,32.13,32.13002282393629,0.03829708431025208,0.0014666666666665565,32.09,32.19,0.09999999999999432,0.09999999999999432,-0.03999999999999915,32.093333333333334,32.093336276138906,0.013743685418724812,0.000188888888888869,32.07,32.11,0.03999999999999915,0.03999999999999915,0.0,2.136,2.1839093387775965,0.4549329620944168,0.2069640000000001,1.69,2.66,0.9700000000000002,0.9700000000000002,-0.31000000000000005,11.864,11.872719149377701,0.45493296209441697,0.20696400000000023,11.34,12.31,0.9700000000000006,0.9700000000000006,0.3100000000000005,WARNING_1
10,73965,80456,6491,9.441550000000001,9.46312716299427,0.638677775173052,0.4079093004999996,8.2308,10.3646,2.133799999999999,2.133799999999999,0.0,126260.55900000001,126768.35538624288,11335.218054377654,128487168.34028915,101244.76,137639.67,36394.91000000002,36394.91000000002,-9315.669999999998,157.76749999999998,368.05500689434996,332.52654637449626,110573.90404375001,31.81,1037.55,1005.74,1005.74,-0.060000000000002274,32.09285714285715,32.092863247590905,0.01979486637221532,0.0003918367346938609,32.07,32.11,0.03999999999999915,0.03999999999999915,0.03999999999999915,6.342999999999999,9.945807659511619,7.660642335992458,58.68544099999999,1.69,25.71,24.02,24.02,-0.9500000000000002,7.657000000000001,10.831209073783038,7.660642335992458,58.68544099999999,-11.71,12.31,24.020000000000003,24.020000000000003,0.9500000000000011,WARNING_1
